Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1925,Superior,NA,140,4522,112,NA,NA,NA,NA
1926,Erie,NA,1044,NA,1466,10,282,4400,4337
1926,Huron,NA,3654,10704,2336,234,NA,932,1148
1926,Michigan,NA,967,6529,82,0,21,7,2267
1926,Ontario,NA,66,845,81,NA,69,60,145
1926,Saint Clair,NA,0,NA,60,NA,NA,192,88
1926,Superior,NA,112,5246,121,NA,NA,NA,NA
1927,Erie,NA,1142,NA,1531,0,358,1895,5237
1927,Huron,NA,4920,11688,2600,356,NA,4002,634
1927,Michigan,NA,815,5699,59,0,35,6,1970
1927,Ontario,NA,62,755,59,NA,89,85,139
1927,Saint Clair,NA,0,NA,48,NA,NA,133,66
1927,Superior,NA,149,5249,104,NA,NA,NA,NA
1928,Erie,NA,1318,NA,1496,221,410,1246,8605
1928,Huron,NA,3746,10556,2548,326,NA,702,730
1928,Michigan,NA,457,4819,52,0,30,11,1152
1928,Ontario,NA,71,849,53,NA,64,136,208
1928,Saint Clair,NA,0,NA,58,NA,NA,123,71
1928,Superior,NA,145,4876,142,NA,NA,NA,NA
1929,Erie,NA,1293,NA,1068,215,368,1177,11732
1929,Huron,NA,3150,9994,2164,332,NA,956,1116
1929,Michigan,NA,2698,6394,53,2,32,607,1380
1929,Ontario,NA,62,618,43,NA,92,111,190
1929,Saint Clair,NA,0,NA,37,NA,NA,45,61
1929,Superior,NA,226,4551,115,NA,NA,NA,NA
1930,Erie,NA,2024,NA,2165,178,405,2176,7760
1930,Huron,NA,4474,9324,2866,164,NA,1940,1526
1930,Michigan,NA,2258,5441,64,11,116,491,1468
1930,Ontario,NA,51,388,40,NA,96,84,164
1930,Saint Clair,NA,0,NA,34,NA,NA,110,70
1930,Superior,NA,95,4019,88,NA,NA,NA,NA
1931,Erie,NA,1417,NA,3011,118,271,2829,13327
1931,Huron,NA,4264,9792,2482,62,NA,1924,1546
1931,Michigan,86,2761,5633,56,23,96,831,1287
1931,Ontario,NA,29,402,35,NA,56,80,101
1931,Saint Clair,NA,0,NA,33,NA,NA,286,68
1931,Superior,NA,166,4320,128,NA,NA,NA,NA
1932,Erie,NA,1322,NA,2320,264,251,3425,14770
1932,Huron,NA,4806,10264,3886,62,NA,2140,1460
1932,Michigan,99,2209,5470,104,6,59,284,955
1932,Ontario,NA,36,320,28,NA,20,103,124
1932,Saint Clair,NA,0,NA,31,NA,NA,312,58
1932,Superior,NA,211,4191,123,NA,NA,NA,NA
1933,Erie,NA,1525,NA,1431,9,251,2648,6164
1933,Huron,NA,3780,10256,4186,86,NA,2000,1106
1933,Michigan,909,1881,5212,167,5,57,919,1009
1933,Ontario,NA,23,365,31,NA,1,103,143
1933,Saint Clair,NA,0,NA,28,NA,NA,356,40
1933,Superior,NA,204,3461,115,NA,NA,NA,NA
1934,Erie,NA,1024,NA,1638,10,254,2219,19889
